Raw supplier name,Canonical supplier name,Reason for merge
Advanced Material Development (AMD),Advanced Material Development,same company under two names / duplicate row
Ametrine Technologies,Ametrine Technologies,no merge
ArmorWorks Enterprises,ArmorWorks Enterprises,no merge
Arquus,Arquus,no merge
Aselsan A.S.,Aselsan,same company under two names / duplicate row
Axalta Coating Systems,Axalta Coating Systems,no merge
BAE Systems,BAE Systems,no merge
BCB International,BCB International,no merge
Battelle,Battelle,no merge
CBG Systems,CBG Systems,no merge
DECPT,DECPT,no merge
DRDO,DRDO,no merge
Def Stealth Industries,Def Stealth Industries,no merge
Dupont,Dupont,no merge
EDGE Group,EDGE Group,no merge
Elbit Systems,Elbit Systems,no merge
Fibrotex,Fibrotex,no merge
Fraunhofer-Gesellschaft,Fraunhofer-Gesellschaft,no merge
General Dynamics,General Dynamics,no merge
Hexcel Corporation,Hexcel Corporation,no merge
InfraHex,InfraHex,no merge
Intermat Group,Intermat Group,no merge
KNDS,KNDS,no merge
Lubawa,Lubawa,no merge
MAST Technologies,MAST Technologies,no merge
Milspray,Milspray,no merge
Miranda Textiles,Miranda Textiles,no merge
Oshkosh Defense,Oshkosh Defense,no merge
PPG Industries,PPG Industries,no merge
QinetiQ,QinetiQ,no merge
Rheinmetall,Rheinmetall,no merge
ST Engineering,ST Engineering,no merge
Saab,Saab,no merge
Seyntex International,Seyntex International,no merge
Sioen Industries NV,Sioen Industries,same company under two names / duplicate row
Polaris,Spectralx,same company under two names / duplicate row
Spectralx,Spectralx,same company under two names / duplicate row
Sterlite Camotech,Sterlite Camotech,no merge
Tdu Savunma Sistemleri,TDU Savunma,same company under two names / duplicate row
TNO,TNO,no merge
Wescom Group,Wescom Group,no merge
